,Country/Region,variable,value
723,Germany,4/3/20,79696
724,"Korea, South",4/3/20,10062
725,Malaysia,4/3/20,3333
726,Russia,4/3/20,4149
727,Singapore,4/3/20,1114
728,US,4/3/20,287941
729,United Kingdom,4/3/20,53645
730,Australia,4/4/20,5550
731,Canada,4/4/20,16410
732,China,4/4/20,84363
733,Germany,4/4/20,85778
734,"Korea, South",4/4/20,10156
735,Malaysia,4/4/20,3483
736,Russia,4/4/20,4731
737,Singapore,4/4/20,1189
738,US,4/4/20,319789
739,United Kingdom,4/4/20,57739
740,Australia,4/5/20,5687
741,Canada,4/5/20,17599
742,China,4/5/20,84467
743,Germany,4/5/20,91714
744,"Korea, South",4/5/20,10237
745,Malaysia,4/5/20,3662
746,Russia,4/5/20,5389
747,Singapore,4/5/20,1309
748,US,4/5/20,349030
749,United Kingdom,4/5/20,61359
750,Australia,4/6/20,5797
751,Canada,4/6/20,19100
752,China,4/6/20,84611
753,Germany,4/6/20,95391
754,"Korea, South",4/6/20,10284
755,Malaysia,4/6/20,3793
756,Russia,4/6/20,6343
757,Singapore,4/6/20,1375
758,US,4/6/20,380814
759,United Kingdom,4/6/20,66715
760,Australia,4/7/20,5895
761,Canada,4/7/20,20488
762,China,4/7/20,84692
763,Germany,4/7/20,99225
764,"Korea, South",4/7/20,10331
765,Malaysia,4/7/20,3963
766,Russia,4/7/20,7497
767,Singapore,4/7/20,1481
768,US,4/7/20,410850
769,United Kingdom,4/7/20,72199
770,Australia,4/8/20,6010
771,Canada,4/8/20,21724
772,China,4/8/20,84909
773,Germany,4/8/20,103228
774,"Korea, South",4/8/20,10384
775,Malaysia,4/8/20,4119
776,Russia,4/8/20,8672
777,Singapore,4/8/20,1623
778,US,4/8/20,441914
779,United Kingdom,4/8/20,77369
780,Australia,4/9/20,6108
781,Canada,4/9/20,23104
782,China,4/9/20,85024
783,Germany,4/9/20,108202
784,"Korea, South",4/9/20,10423
785,Malaysia,4/9/20,4228
786,Russia,4/9/20,10131
787,Singapore,4/9/20,1910
